ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,spent,total_conversion,approved_conversion,is_zero_spend,ctr,cpc,cost_per_total_conv,cost_per_approved_conv,click_to_enquiry_rate,enquiry_to_purchase_rate,purchased
708746,916,103916,30-34,M,15,7350,1,1.429999948,2,1,False,0.0001,1.43,0.715,1.43,2.0,0.5,1
708749,916,103917,30-34,M,16,17861,2,1.820000023,2,0,False,0.0001,0.91,0.91,,1.0,0.0,0
708771,916,103920,30-34,M,20,693,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
708815,916,103928,30-34,M,28,4259,1,1.25,1,0,False,0.0002,1.25,1.25,,1.0,0.0,0
708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1,False,0.0002,1.29,1.29,1.29,1.0,1.0,1
708820,916,103929,30-34,M,29,1915,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
708889,916,103940,30-34,M,15,15615,3,4.769999981,1,0,False,0.0002,1.59,4.77,,0.3333,0.0,0
708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1,False,0.0001,1.27,1.27,1.27,1.0,1.0,1
708953,916,103951,30-34,M,27,2355,1,1.5,1,0,False,0.0004,1.5,1.5,,1.0,0.0,0
708958,916,103952,30-34,M,28,9502,3,3.159999967,1,0,False,0.0003,1.0533,3.16,,0.3333,0.0,0
708979,916,103955,30-34,M,31,1224,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
709023,916,103962,30-34,M,7,735,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
709038,916,103965,30-34,M,16,5117,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
709040,916,103965,30-34,M,16,5120,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
709059,916,103968,30-34,M,20,14669,7,10.28000021,1,1,False,0.0005,1.4686,10.28,10.28,0.1429,1.0,1
709105,916,103976,30-34,M,28,1241,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
709115,916,103978,30-34,M,30,2305,1,0.569999993,1,0,False,0.0004,0.57,0.57,,1.0,0.0,0
709124,916,103979,30-34,M,31,1024,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
709179,916,103988,35-39,M,15,4627,1,1.690000057,1,0,False,0.0002,1.69,1.69,,1.0,0.0,0
709183,916,103989,35-39,M,16,21026,4,4.630000114,2,1,False,0.0002,1.1575,2.315,4.63,0.5,0.5,1
709320,916,104012,35-39,M,15,1422,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
709323,916,104012,35-39,M,15,7132,2,2.609999895,1,0,False,0.0003,1.305,2.61,,0.5,0.0,0
709326,916,104013,35-39,M,16,12190,2,3.049999952,1,0,False,0.0002,1.525,3.05,,0.5,0.0,0
709327,916,104013,35-39,M,16,12193,2,3.059999943,1,1,False,0.0002,1.53,3.06,3.06,0.5,1.0,1
709328,916,104013,35-39,M,16,3332,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
709455,916,104034,35-39,M,7,559,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
709544,916,104049,35-39,M,29,7440,2,2.980000019,1,1,False,0.0003,1.49,2.98,2.98,0.5,1.0,1
709614,916,104061,40-44,M,16,19113,4,5.5200001,1,0,False,0.0002,1.38,5.52,,0.25,0.0,0
709756,916,104085,40-44,M,16,10976,2,1.690000057,1,1,False,0.0002,0.845,1.69,1.69,0.5,1.0,1
709761,916,104085,40-44,M,16,2861,0,0.0,1,0,True,0.0,,0.0,,,0.0,0
709899,916,104108,40-44,M,15,1398,0,0.0,1,1,True,0.0,,0.0,0.0,,1.0,1
